url,property_id,property_type,locality_name,postal_code,build_year,state,living_area,furnished,number_rooms,equipped_kitchen,terrace,facades,garden,garden_area,swimming_pool,price
https://immovlan.be/en/detail/residence/for-sale/1853/strombeek-bever/vba56897,vba56897,Residence,Strombeek-Bever,1853,1996,Excellent,270,1,4,1,1,2,1,100,0,580 000 €
https://immovlan.be/en/detail/residence/for-sale/1341/ceroux-mousty/vbd16452,vbd16452,Residence,Céroux-Mousty,1341,1991,Excellent,218,None,5,None,1,4,1,339,1,Make offer from 695 000 €
https://immovlan.be/en/detail/apartment/for-sale/1300/limal/vbd12380,vbd12380,Apartment,Limal,1300,1970,To be renovated,135,0,3,None,1,4,0,None,0,249 000 €
https://immovlan.be/en/detail/residence/for-sale/1853/strombeek-bever/vbd39990,vbd39990,Residence,Strombeek-Bever,1853,1959,Normal,176,0,3,1,1,3,1,330,0,499 000 €
https://immovlan.be/en/detail/residence/for-sale/1341/ceroux-mousty/vbd24791,vbd24791,Residence,Céroux-Mousty,1341,2007,Excellent,200,0,4,1,1,4,1,841,0,650 000 €
https://immovlan.be/en/detail/apartment/for-sale/1300/limal/vbd13888,vbd13888,Apartment,Limal,1300,None,To renovate,92,0,2,None,1,2,0,None,0,235 000 €
https://immovlan.be/en/detail/residence/for-sale/1853/strombeek-bever/vbd51485,vbd51485,Residence,Strombeek-Bever,1853,1971,Normal,150,0,4,1,1,2,1,60,0,399 000 €
https://immovlan.be/en/detail/residence/for-sale/1341/ceroux-mousty/vbd48807,vbd48807,Residence,Céroux-Mousty,1341,1989,Normal,120,None,3,None,1,4,1,717,0,395 000 €
https://immovlan.be/en/detail/apartment/for-sale/1300/limal/vbd46699,vbd46699,Apartment,Limal,1300,2001,Normal,82,0,2,1,1,2,1,150,0,345 000 €
https://immovlan.be/en/detail/residence/for-sale/1860/meise/rbu57199,rbu57199,Residence,Meise,1860,1984,Normal,185,0,4,None,1,4,1,None,0,697 000 €
https://immovlan.be/en/detail/residence/for-sale/1341/ceroux-mousty/vbd52446,vbd52446,Residence,Céroux-Mousty,1341,1965,To be renovated,149,0,3,None,1,4,1,None,0,350 000 €
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/rbu22609,rbu22609,Apartment,Wavre,1300,None,Normal,114,1,3,None,0,None,1,None,0,299 000 €
https://immovlan.be/en/detail/residence/for-sale/1860/meise/rbu65077,rbu65077,Residence,Meise,1860,1992,Normal,185,None,4,None,0,None,1,None,0,699 000 €
https://immovlan.be/en/detail/residence/for-sale/1342/limelette/vbc81979,vbc81979,Residence,Limelette,1342,1950,Normal,150,0,3,1,1,3,1,90,0,Make offer from 375 000 €
