url,property_id,property_type,locality_name,postal_code,build_year,state,living_area,furnished,number_rooms,equipped_kitchen,terrace,facades,garden,garden_area,swimming_pool,price
https://immovlan.be/en/detail/residence/for-sale/7780/comines-warneton/vbd30675,vbd30675,Residence,Comines-Warneton,7780,1930,To be renovated,81,0,2,1,1,2,0,None,0,Make offer from 100 000 €
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu66398,rbu66398,Residence,Roeselare,8800,1968,To be renovated,324,0,5,1,1,4,1,500,0,535 000 €
https://immovlan.be/en/detail/residence/for-sale/5555/gros-fays/vwd14908,vwd14908,Residence,Gros-Fays,5555,None,Normal,210,None,4,1,1,4,1,None,0,240 000 €
https://immovlan.be/en/detail/residence/for-sale/7800/ath/vbd49231,vbd49231,Residence,Ath,7800,None,Normal,138,0,3,None,1,2,0,None,0,290 000 €
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu66816,rbu66816,Residence,Roeselare,8800,None,To be renovated,140,0,3,None,0,2,0,None,0,124 000 €
https://immovlan.be/en/detail/residence/for-sale/5555/naome/vwd15241,vwd15241,Residence,Naomé,5555,2015,Excellent,430,None,9,1,1,4,1,None,1,1 450 000 €
https://immovlan.be/en/detail/residence/for-sale/7904/tourpes/vbd48935,vbd48935,Residence,Tourpes,7904,None,Excellent,300,0,4,None,1,4,1,None,0,350 000 €
https://immovlan.be/en/detail/residence/for-sale/5560/ciergnon/vbd32410,vbd32410,Residence,Ciergnon,5560,None,Excellent,180,0,3,None,1,None,1,4000,0,445 000 €
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu66836,rbu66836,Residence,Roeselare,8800,1984,None,167,None,3,None,1,2,1,None,0,340 000 €
https://immovlan.be/en/detail/residence/for-sale/5560/ciergnon/vbd44501,vbd44501,Residence,Ciergnon,5560,None,Excellent,180,0,3,None,1,None,1,4000,0,390 000 €
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu66837,rbu66837,Residence,Roeselare,8800,1930,None,128,None,3,None,1,2,0,None,0,155 000 €
https://immovlan.be/en/detail/residence/for-sale/7971/ramegnies/vbd48961,vbd48961,Residence,Ramegnies,7971,None,New,158,None,3,None,None,4,1,None,0,386 862 €
https://immovlan.be/en/detail/residence/for-sale/7972/quevaucamps/vbd49147,vbd49147,Residence,Quevaucamps,7972,None,None,206,None,None,None,0,None,1,None,0,Make offer from 115 000 €
https://immovlan.be/en/detail/residence/for-sale/5560/houyet/vbc92313,vbc92313,Residence,Houyet,5560,None,Normal,155,None,2,1,1,3,1,None,0,Make offer from 219 000 €
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu66915,rbu66915,Residence,Roeselare,8800,None,None,141,None,3,None,0,3,0,None,0,342 150 €
https://immovlan.be/en/detail/residence/for-sale/7973/stambruges/vbd50086,vbd50086,Residence,Stambruges,7973,None,Excellent,102,None,2,None,None,3,1,180,0,185 000 €
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu66916,rbu66916,Residence,Roeselare,8800,None,None,141,None,3,None,0,3,0,None,0,320 290 €
https://immovlan.be/en/detail/residence/for-sale/5560/hulsonniaux/vbd45772,vbd45772,Residence,Hulsonniaux,5560,2024,New,182,0,5,1,0,3,1,None,0,319 000 €
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu29438,rbu29438,Residence,Brugge,8000,1965,None,180,None,3,None,1,2,0,None,0,335 000 €
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu66917,rbu66917,Residence,Roeselare,8800,None,None,140,None,3,None,0,3,0,None,0,322 210 €
https://immovlan.be/en/detail/residence/for-sale/5560/mesnil-eglise/vbd35459,vbd35459,Residence,Mesnil-Église,5560,None,Normal,None,1,4,None,1,4,1,None,0,Make offer from 275 000 €
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu66918,rbu66918,Residence,Roeselare,8800,None,None,141,None,3,None,0,3,0,None,0,322 530 €
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu60152,rbu60152,Residence,Brugge,8000,2001,None,78,None,2,None,1,2,1,None,0,250 000 €
https://immovlan.be/en/detail/residence/for-sale/5563/hour/vbd42932,vbd42932,Residence,Hour,5563,1900,To renovate,208,0,5,1,1,4,1,1724,0,310 000 €
https://immovlan.be/en/detail/residence/for-sale/5564/wanlin/vbd34549,vbd34549,Residence,Wanlin,5564,None,Fully renovated,153,None,5,None,1,None,1,800,0,270 000 €
https://immovlan.be/en/detail/residence/for-sale/8800/rumbeke/rbu61406,rbu61406,Residence,Rumbeke,8800,1990,Normal,156,0,2,None,1,2,0,None,0,210 000 €
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu60242,rbu60242,Residence,Brugge,8000,1935,Normal,244,0,4,None,0,2,1,None,0,749 000 €
https://immovlan.be/en/detail/residence/for-sale/5564/wanlin/vbd42552,vbd42552,Residence,Wanlin,5564,None,Normal,175,0,4,1,1,4,1,343,0,265 000 €
https://immovlan.be/en/detail/residence/for-sale/8820/torhout/rbu30081,rbu30081,Residence,Torhout,8820,1965,None,192,None,6,None,1,2,1,None,0,319 000 €
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu60262,rbu60262,Residence,Brugge,8000,None,None,None,None,2,None,0,None,1,None,0,287 000 €
https://immovlan.be/en/detail/residence/for-sale/5570/beauraing/vbc27229,vbc27229,Residence,Beauraing,5570,2021,New,100,0,2,None,1,4,1,600,0,258 000 €
https://immovlan.be/en/detail/residence/for-sale/8830/hooglede/rbu51347,rbu51347,Residence,Hooglede,8830,1971,None,119,None,3,None,1,4,1,None,0,Price on request
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu60572,rbu60572,Residence,Brugge,8000,None,None,50,None,1,None,1,None,1,None,0,345 000 €
https://immovlan.be/en/detail/residence/for-sale/8830/hooglede/rbu55625,rbu55625,Residence,Hooglede,8830,None,Excellent,300,None,4,None,1,None,1,None,0,685 000 €
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu61982,rbu61982,Residence,Brugge,8000,2022,None,132,None,3,None,1,2,1,None,0,479 000 €
https://immovlan.be/en/detail/residence/for-sale/5570/beauraing/vbc59592,vbc59592,Residence,Beauraing,5570,None,To be renovated,90,0,3,1,0,None,1,1000,0,180 000 €
https://immovlan.be/en/detail/residence/for-sale/8830/hooglede/rbu61772,rbu61772,Residence,Hooglede,8830,2012,None,766,None,None,None,0,None,1,None,0,945 000 €
https://immovlan.be/en/detail/residence/for-sale/5570/beauraing/vbd26519,vbd26519,Residence,Beauraing,5570,1899,Normal,166,None,4,None,0,3,1,None,0,215 000 €
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu62075,rbu62075,Residence,Brugge,8000,None,None,143,None,4,None,1,2,1,None,0,209 000 €
https://immovlan.be/en/detail/residence/for-sale/8830/hooglede/rbu64571,rbu64571,Residence,Hooglede,8830,None,Excellent,189,None,3,None,1,4,1,None,0,469 000 €
https://immovlan.be/en/detail/residence/for-sale/5570/beauraing/vbd31260,vbd31260,Residence,Beauraing,5570,None,To be renovated,175,0,5,None,0,None,0,None,0,169 000 €
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu62076,rbu62076,Residence,Brugge,8000,None,None,None,None,3,None,1,2,0,None,0,299 000 €
https://immovlan.be/en/detail/residence/for-sale/8840/oostnieuwkerke/rbu24154,rbu24154,Residence,Oostnieuwkerke,8840,2023,New,155,None,3,None,0,4,1,None,0,395 315 €
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu62713,rbu62713,Residence,Brugge,8000,1934,To be renovated,191,None,4,None,1,2,1,None,0,299 000 €
https://immovlan.be/en/detail/residence/for-sale/5570/beauraing/vbd31820,vbd31820,Residence,Beauraing,5570,1932,Normal,113,0,2,1,1,4,1,2500,0,288 000 €
https://immovlan.be/en/detail/residence/for-sale/8840/oostnieuwkerke/rbu60892,rbu60892,Residence,Oostnieuwkerke,8840,1996,Excellent,288,0,3,None,1,4,1,400,0,535 000 €
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu62994,rbu62994,Residence,Brugge,8000,1850,None,107,None,3,None,0,2,1,None,0,295 000 €
https://immovlan.be/en/detail/residence/for-sale/5570/beauraing/vbd32980,vbd32980,Residence,Beauraing,5570,1989,Normal,210,0,5,1,1,4,1,None,0,Price on request
https://immovlan.be/en/detail/residence/for-sale/5570/beauraing/vbd37287,vbd37287,Residence,Beauraing,5570,1860,None,None,0,1,None,0,3,1,1395,0,275 000 €
