Type,URL
Apartment,https://immovlan.be/en/detail/apartment/for-sale/8000/brugge/rbu60156
Apartment,https://immovlan.be/en/detail/apartment/for-sale/8380/dudzele/rbu60155
Apartment,https://immovlan.be/en/detail/apartment/for-sale/8380/zeebrugge/rbu24518
Apartment,https://immovlan.be/en/detail/apartment/for-sale/8380/zeebrugge/rbu36854
Apartment,https://immovlan.be/en/detail/duplex/for-sale/8000/brugge/rbu60786
House,https://immovlan.be/en/detail/bungalow/for-sale/8200/sint-andries/rbu58527
House,https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu29438
House,https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu56994
House,https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu57062
House,https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu60034
House,https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu60152
House,https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu60242
House,https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu60262
House,https://immovlan.be/en/detail/residence/for-sale/8200/sint-andries/rbu59273
House,https://immovlan.be/en/detail/residence/for-sale/8310/assebroek/rbu59322
House,https://immovlan.be/en/detail/residence/for-sale/8310/sint-kruis/rbu34385
House,https://immovlan.be/en/detail/residence/for-sale/8310/sint-kruis/rbu60867
House,https://immovlan.be/en/detail/residence/for-sale/8310/sint-kruis/rbu61420
House,https://immovlan.be/en/detail/residence/for-sale/8380/zeebrugge/rbu61421
House,https://immovlan.be/en/detail/villa/for-sale/8000/brugge/rbu45539
